,studio,number_published,average_score
2398,Grendel Games ,1,67
2399,Eiconic Games,3,67
2400,Kalio Ltda.,1,67
2401,Rock Pocket Games,4,67
2402,Quantum Sheep,1,67
2403,Blinkbat Games,1,67
2404,CBS Software,1,67
2405,blacksmith games,3,67
2406,iSquared Games,1,67
2407,Uwan Studio,1,67
2408,N3V Games Pty Ltd,1,67
2409,Jovian Minds,1,67
2410,Brightside Games,3,67
2411,"Unigine Corp, Russia",2,67
2412,Ivent Games,1,67
2413,Grubby Hands,1,67
2414,BillyGoat Entertainment Ltd,4,67
2415,White Rabbit Interactive,3,67
2416,Pixel and Texel,1,67
2417,Deemedya M.S. Ltd.,1,67
2418,Flying Turtle Software,1,67
2419,Alan Hazelden,1,67
2420,Namco Networks America Inc. Games,3,67
2421,Supergonk Ltd.,3,67
2422,Kabam,7,67
2423,Dark Realm Studios,1,67
2424,Total Arkade Software Pty Ltd,1,67
2425,Apogee Games,1,67
2426,Wild Factor,2,67
2427,Feedtank LLC,1,67
2428,Pyrodactyl,1,67
2429,"Machine Zone, Inc",1,67
2430,"Jundroo, LLC",1,67
2431,Tecmo Koei Games,3,67
2432,Hailstorm Games Inc,1,67
2433,Bytesized Studios Inc.,1,67
2434,LEAP Game Studios,1,67
2435,Chris Suffern,1,67
2436,Disruptor Beam,1,67
2437,Puzzle On Word Games Inc.,1,67
2438,Oovee Game Studios,1,67
2439,Infamous Quests,2,67
2440,Carlos Coronado,3,67
2441,Green Man Loaded,1,67
2442,Ace Maddox,1,67
2443,Skyshine Games,1,67
2444,PolyKid,1,67
2445,Blooming Buds Studio,1,67
2446,Brainy Studio LLC,2,67
2447,StarBlade,1,67
2448,Penny Black Studios,1,67
2449,Plug In Digital Label,2,67
2450,N3V Games,1,67
2451,SEMISOFT,1,67
2452,Radical Phi,1,67
2453,HUCAST,2,67
2454,ScrollView Games,1,67
2455,Machine Zone,1,67
2456,AREA35,2,67
2457,Undergames,1,67
2458,Warpfish Games,1,67
2459,Aspyr,5,67
2460,Marvelous AQL,1,67
2461,Digerati,1,67
2462,Kerberos Productions,7,67
2463,Weappy Studio,7,67
2464,"RideonJapan,Inc.",5,67
2465,Pieces Interactive,8,67
2466,Pixel Perfex,4,67
2467,Born Ready Games,4,67
2468,Warhorse Studios,4,67
2469,Buena Vista Games,2,67
2470,Gambitious,2,67
2471,Hudson,2,67
2472,Ludia,3,67
2473,Jujubee Games Studio,3,67
2474,Cococucumber,3,67
2475,UTV Ignition Games,5,67
2476,Konami,5,67
2477,Good Shepherd Entertainment,7,67
2478,Animation Arts,4,67
2479,XGenStudios,4,67
2480,The Pokemon Company,8,67
2481,Jagex Games Studio,4,67
2482,Future Games of London,2,67
2483,Coffee Stain Studios,1,67
2484,smuttlewerk interactive,2,67
2485,"DeNA Co., Ltd.",4,67
2486,Hunted Cow Studios Ltd.,2,67
2487,Empty Flask Games LLC,2,67
2488,Super Icon Ltd,2,67
2489,Noego,2,67
2490,Stormcloud Games Limited,2,67
2491,Dead Mage,2,67
2492,Devespresso Games,4,67
2493,Badland Indie,2,67
2494,Flaming Fowl Studios,2,67
2495,E-Home Entertainment,2,67
2496,Bigben Games,4,67
2497,Milestone S.r.l,6,66
2498,Phoenix Online Publishing,1,66
2499,Phantagram,6,66
2500,Strawdog Studios,3,66
2501,IUGO Mobile Entertainment Inc.,3,66
2502,"Beeline Interactive, Inc.",6,66
2503,Pentadimensional Games,3,66
2504,Zerouno Games,3,66
2505,Deck 13,2,66
2506,TopWare Interactive,2,66
2507,Spicy Horse,5,66
2508,Torn Banner Studios,5,66
2509,Bloober Team,1,66
2510,Gaijin Entertainment,2,66
2511,Incredible Technologies,3,66
2512,FireFly Studios,1,66
2513,Sammy Studios,1,66
2514,Acclaim,1,66
2515,Digital Extremes,2,66
2516,Focus Home Interactive,1,66
2517,Namco Bandai Games,2,66
2518,Midway,2,66
2519,Slitherine Software,5,66
2520,K2 Network,1,66
2521,impressionware,1,66
2522,Ethereal Darkness Interactive,1,66
2523,IMC Games,1,66
2524,CrunchTime Games,1,66
2525,Navarre Corp,3,66
2526,Digital Goldfish Ltd,2,66
2527,SaintXi,1,66
2528,3VGAMES,1,66
2529,Devsisters,1,66
2530,Fatshark AB,1,66
2531,Traction Games,1,66
2532,Kobojo,1,66
2533,We Are Colin,1,66
2534,AwesomeGamesStudio,1,66
2535,BlaBlaIncTech,1,66
2536,Dmitriy Kuzmenko,1,66
2537,Dancing Dots,1,66
2538,JoyBits Ltd.,3,66
2539,Zaxis Games,1,66
2540,Puppy Punch Productions,1,66
2541,Osprey Publishing,1,66
2542,klutzGames,2,66
2543,Group Sound,1,66
2544,Electric Pixel Factory Ltd,1,66
2545,1C-Softclub,3,66
2546,Ben Falcone,1,66
2547,Team2Bit,2,66
2548,FireRabbit,1,66
2549,Stolen Couch Games,3,66
2550,NEOWIZ Internet Corp.,1,66
2551,Punch Puppy Productions,1,66
2552,Big Robot Ltd,2,66
2553,Final Boss Entertainment,1,66
2554,OlderBytes,1,66
2555,Auroch Digital,2,66
2556,David Amador,1,66
2557,ArachnidGames,1,66
2558,damiansommer,1,66
2559,Limasse Five,1,66
2560,Robot Kitty,2,66
2561,Interdimensional Games Inc,1,66
2562,Disco Pixel,2,66
2563,Glowforth,1,66
2564,aPriori Digital,1,66
2565,Lienzo,6,66
2566,Gravity Europe,1,66
2567,JoyBits,3,66
2568,Nine Tales Digital,1,66
2569,Blazing Badger,2,66
2570,Funselektor Labs Inc.,1,66
2571,Prologue Games,1,66
2572,AuraLab,1,66
2573,Kingdom Games,1,66
2574,Other Kind Games,1,66
2575,"Zhuhai HippieNetwork Technology Co., Ltd.",1,66
2576,Dusenberry Martin Racing,1,66
2577,Arif Games,1,66
2578,Whale Hammer Games,1,66
2579,Sword Twin Studios,1,66
2580,Another Indie,1,66
2581,Household Games Inc.,2,66
2582,DeerFarm,1,66
2583,FinalBoss Games,3,66
2584,Vertical Reach,1,66
2585,VU Games,9,66
2586,Encore Software,2,66
2587,Iceberg Interactive,2,66
2588,AGEOD,5,66
2589,Gambitious Digital Entertainment,5,66
2590,A Crowd of Monsters,9,66
2591,Nickelodeon,4,66
2592,Fishing Cactus,4,66
2593,EXOR Studios,4,66
2594,Goodbye Galaxy Games,4,66
2595,Kitfox Games,4,66
2596,TalonSoft,7,66
2597,blurredVision,2,66
2598,Castle Software,2,66
2599,Atomic Games,3,66
2600,iEntertainment Network,3,66
2601,BattleGoat Studios,3,66
2602,Sidhe Interactive,1,66
2603,WXP,6,66
2604,Fair Play Labs,3,66
2605,Nyamyam,3,66
2606,The Station,3,66
2607,Climax Studios,3,66
2608,GamersGate,1,66
2609,Backbone Entertainment,6,66
2610,Games Farm,8,66
2611,"Mobage, Inc.",5,66
2612,Big Blue Bubble Inc.,1,66
2613,MumboJumbo,1,66
2614,Invictus,7,66
2615,Warashi,2,66
2616,Yullaby,2,66
2617,MACHINE Studios LLC,1,66
2618,Zallag,2,66
2619,Just Funny Games S.r.l.,2,66
2620,Open Emotion Studios,2,66
2621,Gamepires,2,66
2622,Sunside Inc.,2,66
2623,Glass Bottom Games,2,66
2624,souvenir circ.,4,66
2625,LOOT Interactive,4,66
2626,Fun Punch Games,2,66
2627,Just Funny Games,2,66
2628,PAN Vision AB,7,65
2629,Kalypso,7,65
2630,Blitz Arcade,8,65
2631,The Adventure Company,4,65
2632,THQ,5,65
2633,1C Company,4,65
2634,GameHouse,3,65
2635,YummyYummyTummy,3,65
2636,Assoria,2,65
2637,Office Create,4,65
2638,Sanuk Games,4,65
2639,PolyKnight Games,4,65
2640,Disney Interactive Studios,1,65
2641,NovaLogic,1,65
2642,Idea Factory,4,65
2643,Hangar 13,5,65
2644,Grip Games,2,65
2645,505 Games,1,65
2646,Egosoft,6,65
2647,Ravenscourt,6,65
2648,Mad Catz,9,65
2649,Clickgamer.com,1,65
2650,Big Ant Studios,1,65
2651,Arika,1,65
2652,Farsight Studios,2,65
2653,On Deck Interactive,2,65
2654,Wanadoo,1,65
2655,Black Label Games,5,65
2656,Sierra Online,1,65
2657,Bongfish,5,65
2658,Gravity Interactive,1,65
2659,PixelStorm,1,65
2660,"Quest Online, Inc.",2,65
2661,Playrix Entertainment,1,65
2662,Perpetual FX Creative,1,65
2663,Realtech VR,1,65
2664,Anozor SARL,1,65
2665,Kokakiki LLC,1,65
2666,Cosmonaut Games,2,65
2667,Anshar Studios,1,65
2668,Frima,1,65
2669,Massive Finger,1,65
2670,Popcannibal,1,65
2671,Akaoni Studio,1,65
2672,mif2000,1,65
2673,Little Green Men,4,65
2674,Tuokio Inc.,1,65
2675,CE Europe Ltd,1,65
2676,"Fugazo, Inc.",1,65
2677,Pixelmator Team,1,65
2678,"Metamoki, Inc.",1,65
2679,Dark Vale Games,1,65
2680,Springloaded,5,65
2681,Subterranean Games,1,65
2682,Jacques Deul,1,65
2683,Hangonit,1,65
2684,Snow Castle Games,3,65
2685,Vladimir Kudelka,1,65
2686,GabberGames,1,65
2687,Indietopia Games,2,65
2688,3D2 Entertainment,1,65
2689,Deco Digital,3,65
2690,Digital Confectioners,1,65
2691,Flying Cafe for Semianimals,1,65
2692,Spiky Fish Games,1,65
2693,Tammeka Games,1,65
2694,Leikir Studio,1,65
2695,Flying Mollusk,1,65
2696,Madskull Creations,1,65
2697,Triskell Interactive,1,65
2698,Coco Cucumber,2,65
2699,Team ERROR,1,65
2700,Excalbur Games,1,65
2701,Emilios Manolidis,1,65
2702,Puzzling Dream,2,65
2703,Reloaded Games,4,65
2704,Lunatic Pixels,1,65
2705,Okidokico Entertainment Inc.,1,65
2706,teedoubleuGAMES,1,65
2707,704Games,4,65
2708,Deep Taiga,1,65
2709,Dmitry Zagumennov,1,65
2710,AurumDust,1,65
2711,Francis Cota,1,65
2712,Door Z Studio,1,65
2713,Agetec Inc.,3,65
2714,1C,3,65
2715,Lighthouse Interactive,9,65
2716,Humongous Entertainment,6,65
2717,Enlight Software,2,65
2718,Buena Vista Interactive,1,65
2719,QubicGames,1,65
2720,Take-Two Interactive,6,65
2721,Universal Interactive,1,65
2722,Nobilis,3,65
2723,Ice-Pick Lodge,6,65
2724,Krillbite Studio,3,65
2725,Blindflug Studios,3,65
2726,Shrapnel Games,2,65
2727,cdv Software,5,65
2728,Tate Multimedia,7,65
2729,SCi,4,65
2730,Bold Games,4,65
2731,Minoraxis,2,65
2732,MTO,6,65
2733,3D Magic Kft.,2,65
2734,Nyu Media,4,65
2735,"Com2us USA, Inc.",2,65
2736,Cybernate,2,65
2737,Crosse Studios,2,65
2738,Antagonist,2,65
2739,Happinet,2,65
2740,Gevo Entertainment,7,64
2741,GameTrust,1,64
2742,Jared Bailey,3,64
2743,Dovetail Games,6,64
2744,nDreams,4,64
2745,Bedtime Digital Games,8,64
2746,Dark Energy Digital,5,64
2747,Scott Cawthon,5,64
2748,"Encore Software, Inc.",3,64
2749,Natsume,8,64
2750,Pangea Software,1,64
2751,Playmore,2,64
2752,Wicked Witch Software,1,64
2753,VGViews Inc.,1,64
2754,Prophetic Sky,1,64
2755,Nemesys,4,64
2756,TastyPlay,1,64
2757,XMG Studio Inc.,2,64
2758,FlukeDude,1,64
2759,Onteca,1,64
2760,Pixel Federation,2,64
2761,Blowfish Studios,1,64
2762,Invictus Games,1,64
2763,Lakoo,1,64
2764,Darling Dash Ltd,1,64
2765,Turbo Tape Games,1,64
2766,"TinyCo, Inc.",1,64
2767,Marvel Entertainment,8,64
2768,"The Playforge, LLC",1,64
2769,Stirfire Studios,1,64
2770,Greenfly Studios Ltd.,1,64
2771,Mediocre,1,64
2772,7sixty,2,64
2773,Dogbyte Games Kft.,1,64
2774,Arkalis Interactive,1,64
2775,FX Interactive,1,64
2776,Freaky Creations,1,64
2777,AwesomeBlade,1,64
2778,Mindfield Games,1,64
2779,Ape Law,1,64
2780,Bui Tho,1,64
2781,Tapstar Interactive Inc.,1,64
2782,Pixel Titans,1,64
2783,winterworks,1,64
2784,Mandragora,3,64
2785,Studio Wildcard,4,64
2786,MakinGames,3,64
2787,Paleozoic,1,64
2788,Cardboard Keep,1,64
2789,Mechabit Ltd,1,64
2790,West Coast Software,1,64
2791,Vile Monarch,4,64
2792,Tru Blu,1,64
2793,WG Labs,2,64
2794,Green Man Gaming Publishing,4,64
2795,Klabater,2,64
2796,Scraping Bottom Games,1,64
2797,Painted Black Games,3,64
2798,Wako Factory,1,64
2799,Trinity Team srls,1,64
2800,Buddy Productions GmbH,1,64
2801,Gamedust,1,64
2802,Koei,9,64
2803,Atari SA,1,64
2804,Might and Delight,7,64
2805,Griptonite Games,3,64
2806,Vision Games Publishing LTD,6,64
2807,Merge Games,2,64
2808,Acquire,2,64
2809,Angry Mob Games,5,64
2810,Prairie Games,2,64
2811,Pinnacle,4,64
2812,Bravo,4,64
2813,Disney Interactive,1,64
2814,Deep Silver,1,64
2815,Gentlymad,3,64
2816,LKA,3,64
2817,Snow Cannon Games,3,64
2818,Atari,3,64
2819,Arush Entertainment,7,64
2820,Doublesix,9,64
2821,D3,1,64
2822,Big Toe Software,2,64
2823,"International Games System Co., Ltd.",2,64
2824,Uppercut Games,4,64
2825,Chainsawesome Games,2,64
2826,Sunbreak Games,2,64
2827,Phantom Compass,4,64
2828,Fusty Game,2,64
2829,Lost in the Garden,2,64
2830,Microids,3,63
2831,Infogrames,8,63
2832,Big John Games,5,63
2833,kudosoft,2,63
2834,Full Fat,2,63
2835,Playrise Edge Ltd.,3,63
2836,Compulsion Games,6,63
2837,Naked Sky Entertainment,7,63
2838,BetaDwarf,4,63
2839,Fat Dog Games,4,63
2840,Namco Bandai Games America,1,63
2841,Myelin Media,5,63
2842,Wired Productions,1,63
2843,Three Fields Entertainment,9,63
2844,Fishtank Interactive,6,63
2845,eGames,2,63
2846,Anino Entertainment,1,63
2847,Artificial Life,1,63
2848,1st Playable Productions,3,63
2849,Eversim,1,63
2850,Griffin International,1,63
2851,FreshTone Games,1,63
2852,Mutant Games,1,63
2853,Xform,1,63
2854,Joystick Generals,1,63
2855,Enteractive Distribution Co.,1,63
2856,KONGZHONG CORPORATION,1,63
2857,Riida.com,1,63
2858,BeeworksGames,1,63
2859,Colibri Games,1,63
2860,Machine 22,1,63
2861,Aduge Studio,1,63
2862,Nordeus LLC,1,63
2863,Broken Compass Studios,1,63
2864,U-Play Online,1,63
2865,Miles Godspeed,1,63
2866,RebelPlay,1,63
2867,ECA Games,1,63
2868,Fuero Games,1,63
2869,Emmet Morris,1,63
2870,Ynnis Interactive,3,63
2871,Edit Mode,1,63
2872,Slitherine Group,2,63
2873,Flux Game Studio,1,63
2874,Mebius,2,63
2875,Bitbox Ltd.,1,63
2876,Blazing Griffin,1,63
2877,ZANDEL MEDIA,1,63
2878,Zanrai Interactive,1,63
2879,Zueira Digital,1,63
2880,RadiationBurn,1,63
2881,Dream Reactor LLC,1,63
2882,INTERNET URL S.A.,1,63
2883,Gattai Games,1,63
2884,Stroboskop,1,63
2885,Grailr LLC,1,63
2886,Oudidon,1,63
2887,Marker Limited,1,63
2888,3rd Eye Studios,2,63
2889,GrimTalin,1,63
2890,Tiny Bull Studios,1,63
2891,"E-Home Entertainment Developerment Co., Ltd",1,63
2892,Bread Machine Games,1,63
2893,CIRCLE Entertainment,1,63
2894,Artdink,8,63
2895,Cinemaware,6,63
2896,Tomy Corporation,1,63
2897,Lego Media,5,63
2898,Nordic Games Publishing,5,63
2899,Tom Create,4,63
2900,Exkee,4,63
2901,Cyanide Studios,1,63
2902,Naps Team,3,63
2903,Santa Clara Games,3,63
2904,DTP Entertainment,2,63
2905,Black Bean Games,5,63
2906,Black Forest Games,1,63
2907,Nnooo,7,63
2908,Monte Cristo Multimedia,1,63
2909,Monte Cristo,1,63
2910,Firebrand Games,1,63
2911,Parallax Software,2,63
2912,Merscom LLC,1,63
2913,Sonic Powered,2,63
2914,Mass Creation,2,63
2915,Black Shell Games,4,63
2916,Chubby Pixel,2,63
2917,Full Control ApS,5,62
2918,The Muteki Corporation,5,62
2919,Full Control,5,62
2920,Panic Button,8,62
2921,989 Sports,2,62
2922,cdv Software Entertainment USA,6,62
2923,Cascadia Games LLC,3,62
2924,Iridium Studios,3,62
2925,Reloaded Games Inc.,3,62
2926,Collavier,3,62
2927,Playful Corp.,3,62
2928,"BadFly Interactive, a.s",3,62
2929,Gloomywood,3,62
2930,Rainy Frog,6,62
2931,BadFly Interactive,3,62
2932,Digital Tribe,7,62
2933,Mastertronic,2,62
2934,Simon & Schuster,1,62
2935,Excalibur Publishing Limited,5,62
2936,Ignition Entertainment,4,62
2937,RealNetworks,1,62
2938,Digital Chocolate,1,62
2939,Virtual Toys,6,62
2940,Koch Media,1,62
2941,Big Ben Interactive,1,62
2942,Namazu Studios,1,62
2943,Blitz Games Studios,1,62
2944,Scary Robot Productions,1,62
2945,Christine Love,1,62
2946,Krystian Majewski,1,62
2947,Happy Tuesday,1,62
2948,Sunfish Studio Limited,1,62
2949,ACQUIRE Corp.,1,62
2950,RichMakeGame,1,62
2951,Goroid,2,62
2952,ANDREY NOVIKOV,1,62
2953,Oozoo Inc.,1,62
2954,Upper Byte,1,62
2955,Big Bit Ltd,1,62
2956,Boomlagoon,1,62
2957,Milkstone Studios SL,2,62
2958,"One Spear Entertainment, Inc.",1,62
2959,Deirdra Kiai,1,62
2960,Monochrome Games,1,62
2961,Pixel Hero Games,3,62
2962,Blackpowder Games ,1,62
2963,Robot Loves Kitty,1,62
2964,Jason Oda,1,62
2965,Henchmen Studio,1,62
2966,Ludeme Games,1,62
2967,PostMod Softworks,1,62
2968,AAD Productions,1,62
2969,Chris McFarland,1,62
2970,Pocket Trap,1,62
2971,NVYVE Studios,1,62
2972,Diabolical Mind,1,62
2973,Cosen,3,62
2974,Ravegan,1,62
2975,Perfectly Paranormal,3,62
2976,2Dream,1,62
2977,Abyss Gameworks,1,62
2978,Bread Team,1,62
2979,"E-Home Entertainment Development Co., Ltd",1,62
2980,flow,1,62
2981,DigiPen Game Studios,1,62
2982,Mastiff,1,62
2983,Blue Isle Studios,7,62
2984,Vogster,6,62
2985,Bam Entertainment,4,62
2986,Silver Creek Entertainment,4,62
2987,Dreadlocks Ltd,4,62
2988,Mediascape,4,62
2989,Dreadlocks,4,62
2990,SpeedRunGames.com,1,62
2991,Zoe Mode,1,62
2992,Enigma Software Productions,3,62
2993,Cerasus Media,3,62
2994,AIA,3,62
2995,Erdem Sen,3,62
2996,3DClouds.it,3,62
2997,Real Arcade,3,62
2998,Neko Entertainment,2,62
2999,Strategy First,8,62
3000,Metro3D,1,62
3001,Edge of Reality,2,62
3002,"Phantom EFX, Inc.",2,62
3003,different cloth,2,62
3004,"Phosphor Games Studio, LLC",4,62
3005,Phantom EFX,2,62
3006,SuperMassive Games,1,61
3007,System 3,1,61
3008,Rebellion,6,61
3009,Got Game Entertainment,2,61
3010,Deep Fried Entertainment,3,61
3011,"Tik Games, LLC",9,61
3012,Other Ocean Interactive,1,61
3013,MileStone Inc.,1,61
3014,THQ Wireless,6,61
3015,EKO Software,1,61
3016,Cyanide,4,61
3017,Jaleco Entertainment,1,61
3018,Diversions Entertainment,1,61
3019,Super X Studios,4,61
3020,Noumena Productions,1,61
3021,Rampant Games,1,61
3022,ASK Homework,1,61
3023,Wahoo Studios,1,61
3024,Silverlode Interactive,1,61
3025,Noviy Disk,1,61
3026,RTL,1,61
3027,Gammick Entertainment,1,61
3028,dtp Young Entertainment AG,1,61
3029,Semnant Studios,1,61
3030,G-STYLE,1,61
3031,"MunkyFun, Inc.",2,61
3032,Cliffhanger Productions,1,61
3033,HandMade Game,2,61
3034,Cliffhanger Productions,1,61
3035,CJ Internet Corp.,1,61
3036,Vaporware Labs,1,61
3037,EA Play,2,61
3038,Farseer Games,1,61
3039,Niffler Ltd,1,61
3040,NG:DEV.TEAM,1,61
3041,Reality Twist GmbH,2,61
3042,Toylogic Inc.,1,61
3043,Konami Digital Entertainment GmbH,1,61
3044,Moving Player,6,61
3045,Maya,1,61
3046,QUByte Interactive,3,61
3047,In Images,1,61
3048,Tasharen Entertainment,1,61
3049,Goldmark Studios,1,61
3050,Space Bullet Dynamics Corporation,1,61
3051,Level-5 Inc.,1,61
3052,Nemoria Entertainment,1,61
3053,Wonderwood Games LLC,1,61
3054,Snail Games,2,61
3055,MIST[PSI]PRESS,2,61
3056,Megapop,1,61
3057,Ayyo Games,1,61
3058,Signo & Arte,1,61
3059,PlaySide,1,61
3060,Fugitive Games,1,61
3061,King Art Games,1,61
3062,Awaceb,1,61
3063,Sunburned Games,1,61
3064,ION LANDS,1,61
3065,3rd Eye Studios Oy LTD,1,61
3066,Good Catch,2,61
3067,"Cyan, Inc.",1,61
3068,Reality Twist,2,61
3069,Flight School Studio,1,61
3070,Good Night Brave Warrior,1,61
3071,Empire Interactive,4,61
3072,iFun4all,1,61
3073,Blitz Game Studios,9,61
3074,2K Play,9,61
3075,3DO,4,61
3076,Titus Software,1,61
3077,Meridian4,1,61
3078,Bandai,5,61
3079,EON Digital Entertainment,4,61
3080,GMX Media,6,61
3081,MonkeyPaw Games,3,61
3082,Wolf Brew Games,3,61
3083,Elephant Entertainment,2,61
3084,"Genius Products, Inc.",2,61
3085,Sega Europe,4,61
3086,Prope,8,61
3087,Gamebridge,2,61
3088,Edge Entertainment,2,61
3089,Nowhere Studios,2,61
3090,stillalive studios,2,61
3091,Artifact 5,2,61
3092,Tri Synergy,2,60
3093,Seaven Studio,7,60
3094,G5 Software,5,60
3095,Left Field Productions,1,60
3096,TACS Games,3,60
3097,Blitz Games,4,60
3098,Targem Games,9,60
3099,Graphic Simulations,2,60
3100,PlayFirst,8,60
3101,3D Realms,8,60
3102,Cenega Publishing,4,60
3103,MSN Games,1,60
3104,Jack of All Games,4,60
3105,Vir2L Studios,2,60
3106,Wolfire Software,1,60
3107,Legendo Entertainment,3,60
3108,ShadeTree Games,2,60
3109,Boomzap,1,60
3110,Avanquest Software,1,60
3111,Boolat Games,2,60
3112,"InMotion Software, LLC",1,60
3113,Matmi,2,60
3114,ANIMA Entertainment,1,60
3115,Sad Cat Software,1,60
3116,Apostrophe Stockholm,1,60
3117,Absolutist Ltd,1,60
3118,Playtainment,1,60
3119,Shining Gate Software,1,60
3120,Red 5 Studios,1,60
3121,VisionaryX GmbH,1,60
3122,Mikrotie Ltd,1,60
3123,tiny Build GAMES,5,60
3124,DNA Interactive Ltd,1,60
3125,Engient,1,60
3126,Elefantopia LLC,2,60
3127,Record Makers,1,60
3128,Nicolas Saraintaris,1,60
3129,Awesome Games Studio,4,60
3130,Stage Clear Studios,2,60
3131,Prodigy Design Limited T/A Sidhe Interactive,1,60
3132,BSK Games,1,60
3133,Arcanity Inc,1,60
3134,SOMI,1,60
3135,Digital Kingdom,1,60
3136,Ratalaika Games S.L.,1,60
3137,Whale Rock Games,2,60
3138,Gaming Corps AB,2,60
3139,Games Starter,1,60
3140,Prospect Games,2,60
3141,Red Limb Studio,1,60
3142,Vive Studios,1,60
3143,Aqua Style,1,60
3144,TIGAMES,1,60
3145,Starbreeze publishing AB,2,60
3146,Fantahorn Studio,1,60
3147,Artisano,1,60
3148,Absolutist,1,60
3149,Ant Workshop,1,60
3150,Among Giants,1,60
3151,Hudson Soft,2,60
3152,Krome Studios,4,60
3153,EuroVideo Medien,9,60
3154,SouthPeak Games,5,60
3155,Mattel,6,60
3156,TikGames,4,60
3157,Majesco Games,1,60
3158,Hot-B,3,60
3159,Triangle Studios,6,60
3160,Crocodile Entertainment,3,60
3161,Reliance Big Entertainment UK Private Ltd,3,60
3162,Night Light Interactive,3,60
3163,D3Publisher,1,60
3164,Beatshapers,1,60
3165,Lesta Studio,6,60
3166,Third Wave Games,2,60
3167,Triniti Interactive Limited,2,60
3168,Streum On Studio,4,60
3169,Enjoy Gaming,4,60
3170,Dead Mage Studio,2,60
3171,PD Design Studio Pte Ltd,2,60
3172,Cowardly Creations,2,60
3173,Battlecruiser Games,2,60
3174,PlayWay,1,59
3175,Sabarasa Entertainment,5,59
3176,Reverb Triple XP,5,59
3177,JoWooD Entertainment AG,3,59
3178,Ritual Entertainment,8,59
3179,Accolade,3,59
3180,M2H,6,59
3181,DreamCatcher Interactive,7,59
3182,Heavy Iron Studios,3,59
3183,Bigben Interactive,3,59
3184,Bossa Studios,9,59
3185,Gun Media,5,59
3186,O3 Entertainment,1,59
3187,Eclipse Games,9,59
3188,High Voltage Software,6,59
3189,Hot B,1,59
3190,I-Play,5,59
3191,OnNet,1,59
3192,IDEA Games,1,59
3193,Red Fly Studio,1,59
3194,Zeroscale,1,59
3195,Tapulous,1,59
3196,Isotx,1,59
3197,Apex Designs,2,59
3198,20th Century Fox Film Corporation,1,59
3199,Games Distillery,2,59
3200,Interwave Studios,2,59
3201,Zoo Entertainment,1,59
3202,"World Wrestling Entertainment, Inc.",1,59
3203,Reverie World Studios Inc.,1,59
3204,Bit Composer,2,59
3205,Nah-Meen Studios LLC,1,59
3206,Glitch Games,1,59
3207,astragon Software GmbH,2,59
3208,"BitMonster, Inc.",1,59
3209,Minicore Studios LLC,1,59
3210,RenRen Games,1,59
3211,Marcin Draszczuk,1,59
3212,HWGCY Entertainment Ltd,1,59
3213,Lupus Studios Limited,1,59
3214,Dykast Lubomir,1,59
3215,The Digital Lounge,5,59
3216,Night Node,1,59
3217,Synet Electronics,1,59
3218,M07 Games,1,59
3219,altairworks,1,59
3220,LifeSpark Entertainment,1,59
3221,Log Games,2,59
3222,Orpheus Interactive Inc.,1,59
3223,Lumenox ehf,2,59
3224,Ufo Crash Games,1,59
3225,Singapore University of Technology and Design,1,59
3226,Pated,1,59
3227,Vision Game Publishing Limited,1,59
3228,Dragon Slumber,1,59
3229,20th Century Fox Film Corporation,1,59
3230,Wee Man Studios,1,59
3231,Blue Capsule Studio,1,59
3232,In Vitro Games,1,59
3233,Minicore Studios,1,59
3234,Crave,9,59
3235,Powerhead Games,4,59
3236,The Deep End Games,4,59
3237,Farmind Ltd,3,59
3238,XS Games,1,59
3239,Giants Software,1,59
3240,Agetec,1,59
3241,NewKidCo,4,59
3242,Russobit-M,2,59
3243,Cowboy Rodeo,2,59
3244,Makivision Games,2,59
3245,Nexus Game Studio,2,59
3246,Heavy Spectrum,2,59
3247,Sleepless Clinic,2,59
3248,Vertigo Games,9,58
3249,KISS Ltd.,9,58
3250,U&I Entertainment,6,58
3251,Immersion Software & Graphics,7,58
3252,Muse Games,4,58
3253,"Pipeworks Software, Inc.",2,58
3254,Majesco,1,58
3255,Finish Line Games,5,58
3256,Phosphor Games,5,58
3257,Hydravision,1,58
3258,The Farm 51,1,58
3259,Lexis Numerique,1,58
3260,EnjoyUp Games,2,58
3261,Enterbrain,1,58
3262,Ojom,1,58
3263,Game Factory,2,58
3264,Evolution Vault,2,58
3265,G2 Games,1,58
3266,Playstos Entertainment,3,58
3267,Ludia Inc.,4,58
3268,Jason Rohrer,1,58
3269,Sector3 Games,1,58
3270,Naquatic,1,58
3271,DMG Entertainment,1,58
3272,CJ E&M Games,1,58
3273,JanduSoft,4,58
3274,Portalarium,1,58
3275,Trigger Apps,1,58
3276,Jupija,1,58
3277,Urbanscan Limited,1,58
3278,Monster Robot Studios,1,58
3279,Wobbly Tooth Ltd,1,58
3280,CJ E&M,2,58
3281,Outplay Entertainment Ltd,2,58
3282,Defrost Games,1,58
3283,Farseer Games LLC,1,58
3284,GameCoder Studios,1,58
3285,Demon Wagon Studios,1,58
3286,Peter Molyneux,1,58
3287,Flying Carpets,1,58
3288,Ascension Studios,1,58
3289,Zenith Blue,1,58
3290,DryGin Studios,1,58
3291,R8 Games,1,58
3292,Guru Games,2,58
3293,MichaelArts,3,58
3294,Imperative Entertainment,3,58
3295,Cyber Rhino Studios,2,58
3296,Bigmoon Entertainment,4,58
